idno,name,year,duration_weeks,country,cadre,training_name
01AM016100,Shri B. K. Dev Varma,1989,39,UNITED KINGDOM                                    ,Assam Meghalaya,"U/BIRMINGHAM,DEV.FINAN                                                                              "
01AM014901,Shri P B O Warjri,1996,52,UNITED KINGDOM                                    ,Assam Meghalaya,LON SCH ECO MSC SO PLG                                                                              
01AM016600,Shri Kapil Dev Tripathi,1993,52,SLOVENIA                                          ,Assam Meghalaya,MBA AT ICPEIJUBJANA                                                                                 
01AM015700,Shri Jitesh Khosla,1992,52,UNITED KINGDOM                                    ,Assam Meghalaya,"MSc in Social Plainning & Policy,                                                                   "
01AM015700,Shri Jitesh Khosla,1990,2,USA                                               ,Assam Meghalaya,WTC NEWYORK MGT SKILL                                                                               
01AM015700,Shri Jitesh Khosla,1995,4,USA                                               ,Assam Meghalaya,International Program on Refor                                                                      
01AM015600,Shri Anup Kumar Thakur,1988,52,UNITED KINGDOM                                    ,Assam Meghalaya,U/LEEDS MBA                                                                                         
01AM015600,Shri Anup Kumar Thakur,2001,5,USA                                               ,Assam Meghalaya,INF.TRG PROG PUB.FINCE                                                                              
01AM016800,Shri Subhash Chandra Das,1993,52,UNITED KINGDOM                                    ,Assam Meghalaya,U/MNCHTER MSC PR MGT                                                                                
01AM016800,Shri Subhash Chandra Das,2002,3,UNITED KINGDOM                                    ,Assam Meghalaya,Training of trainer Workshop                                                                        
01AM017000,Shri Anoop Kumar Srivastava,1995,5,SWEDEN                                            ,Assam Meghalaya,"U/LUND,BITS HUMAN RIGH                                                                              "
01AM017000,Shri Anoop Kumar Srivastava,2008,17,USA                                               ,Assam Meghalaya,Public Admn. Programme                                                                              
01AM017000,Shri Anoop Kumar Srivastava,2008,17,USA                                               ,Assam Meghalaya,Certificate in Public Administration Programme                                                      
01AM017100,Shri Suresh Chandra Panda,1998,2,                                                  ,Assam Meghalaya,Training Programme for IAS officers LBSN                                                            
01AM017100,Shri Suresh Chandra Panda,1999,52,UNITED KINGDOM                                    ,Assam Meghalaya,U/BIRMINGHAM MBA                                                                                    
01AM017200,Shri Rajiv Yadav,1998,52,UNITED KINGDOM                                    ,Assam Meghalaya,"U/HULL,MBA,UK.                                                                                      "
01AM017200,Shri Rajiv Yadav,2013,1,USA                                               ,Assam Meghalaya,Driving Government Performance                                                                      
01AM017800,Shri Himangshu Sekhar Das,2003,1,CHINA                                             ,Assam Meghalaya,BAMBOO PRD&PROCSNG TEH                                                                              
01AM017600,Shri Jai Priye Prakash,2000,52,UNITED KINGDOM                                    ,Assam Meghalaya,U/BIRMINGHAM MBA                                                                                    
01AM018500,Shri Ram Tirath Jindal,1987,1,                                                  ,Assam Meghalaya,Human Resource Development                                                                          
01AM018500,Shri Ram Tirath Jindal,1988,1,                                                  ,Assam Meghalaya,MIS & Computer Applications in Govt. Level-I                                                        
01AM018500,Shri Ram Tirath Jindal,1989,1,                                                  ,Assam Meghalaya,Urban Development                                                                                   
01AM018500,Shri Ram Tirath Jindal,1990,3,                                                  ,Assam Meghalaya,Junior Group IAS-1980-1983                                                                          
01AM018300,Shri V B Pyarelal,1999,1,JAPAN                                             ,Assam Meghalaya,STUDY TOUR TECH. EDU                                                                                
01AM018600,Shri Arun Kumar,2008,2,AUSTRALIA                                         ,Assam Meghalaya,Successful Eval &Mgt.PSP                                                                            
01AM018400,Shri Jatinder Bir Singh,2003,52,AUSTRALIA                                         ,Assam Meghalaya,MBA IN  AUSTRALIA                                                                                   
01AM018900,Shri Alok Kumar,1996,52,UNITED KINGDOM                                    ,Assam Meghalaya,MBA STRATHCYLDE UNI UK                                                                              
01AM018800,Shri Yeshi Tsering,1993,39,UNITED KINGDOM                                    ,Assam Meghalaya,U/BRMGHM MSC DEV ADMN                                                                               
01AM018700,Shri Jagdish Prasad Meena,1996,52,UNITED KINGDOM                                    ,Assam Meghalaya,U/READING MA RURL DO D                                                                              
01AM019000,Shri Davinder Kumar,2004,18,USA                                               ,Assam Meghalaya,U/SYRACUSE PUBLIC ADMN                                                                              
01AM019100,Shri Ajay Kumar Bhalla,2014,1,USA                                               ,Assam Meghalaya,"Short-term training programme Leadersjhip for 21st Century, Chaos, Conflict & Courage at JFK School "
01AM019100,Shri Ajay Kumar Bhalla,1999,52,AUSTRALIA                                         ,Assam Meghalaya,U/WESTERN SIDNEY MBA                                                                                
01AM019200,Shri Shyam Lal Mewara,2009,1,                                                  ,Assam Meghalaya,IC Centre for Governance Panchgani(MH)                                                              
01AM019200,Shri Shyam Lal Mewara,2003,12,SLOVENIA                                          ,Assam Meghalaya,Short Term Training                                                                                 
01AM019400,Shri K V Eapen,1997,52,UNITED KINGDOM                                    ,Assam Meghalaya,MSc. MACRO ECO POL PLG                                                                              
01AM019600,Shri Parmarsan S Thangkhiew,2007,20,USA                                               ,Assam Meghalaya,Short Term Training                                                                                 
01AM019600,Shri Parmarsan S Thangkhiew,1995,52,AUSTRALIA                                         ,Assam Meghalaya,PG DIP BUSINESS MANAGT                                                                              
01AM019600,Shri Parmarsan S Thangkhiew,1996,52,AUSTRALIA                                         ,Assam Meghalaya,MBA IN AUSTRALIA                                                                                    
01AM019700,Shri Rajiv Kumar Bora,2014,2,                                                  ,Assam Meghalaya,e-Governance4 Leadership Training  Programme                                                        
01AM019700,Shri Rajiv Kumar Bora,2014,1,                                                  ,Assam Meghalaya,Study tour within e-Government Leadership Programme                                                 
01AM019800,Shri V S Bhaskar,2002,4,USA                                               ,Assam Meghalaya,DIPLOMA STATISTICAL                                                                                 
01AM019800,Shri V S Bhaskar,1998,4,ITALY                                             ,Assam Meghalaya,COM EQIPMENT PRO MGT                                                                                
01AM019800,Shri V S Bhaskar,1993,1,MALAYSIA                                          ,Assam Meghalaya,FAMILY PLG.PROG                                                                                     
01AM019900,Shri Sailesh,2002,80,JAPAN                                             ,Assam Meghalaya,INTNL DEV.STUDIS JAPAN                                                                              
01AM020100,Dr. Shreeranjan,1998,52,UNITED KINGDOM                                    ,Assam Meghalaya,U/MANCHESTER MGT&IMPL                                                                               
01AM020100,Dr. Shreeranjan,2012,1,UNITED KINGDOM                                    ,Assam Meghalaya,Course on Leadership & Strategic Thinking                                                           
01AM015000,Shri H M Cairae,1992,52,UNITED KINGDOM                                    ,Assam Meghalaya,U/SWANSEA.RGL DEV PLG                                                                               
01AM020200,Shri Sumeet Jerath,1998,52,UNITED KINGDOM                                    ,Assam Meghalaya,M B A                                                                                               
01AM020500,Shri Kumar Sanjay Krishna,1994,3,USA                                               ,Assam Meghalaya,Mgt. of Public Accountability                                                                       
