ID,Name,Service,Cadre,Reference_Value,Designation,Level,Office,Organisation,Field_of_Experience,Category_of_Experience,Start_Date,End_Date,Source
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,0,Chairman,Secretary Equivalent,,Centre,Ports,Transport,01/04/1985,01/07/1985,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,1,On Leave,Secretary,,Centre,,N.Applicable,01/11/1982,01/01/1985,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,2,Secretary,Secretary,"M/o Edu, Culture & Social Welfare",Centre,Education,Human Resource Dev,01/08/1981,01/11/1982,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,3,Chairman,Additional Secretary Equivalent,D/o Agriculture & Cooperation,Centre,Agriculture,Agriculture & Cooperation,01/12/1978,01/08/1981,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,4,Additional Secy,Additional Secretary,M/o Agriculture,Centre,Agriculture,Agriculture & Cooperation,01/08/1976,01/06/1978,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,5,Jt Secy,Joint Secretary,M/o Agriculture,Centre,Agriculture,Agriculture & Cooperation,01/07/1972,01/08/1976,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,6,Jt Secy,Joint Secretary,,Centre,Personnel Mgmt,Personnel and General Administration,01/06/1970,01/07/1972,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,7,Secretary,Joint Secretary,,Cadre (AIS),Agriculture,Agriculture & Cooperation,01/05/1968,01/06/1970,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,8,Additional Secy,Director,,Cadre (AIS),Agriculture,Agriculture & Cooperation,01/05/1968,01/06/1970,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,9,Director,Director,,Centre,Revenue,Finance,01/11/1965,01/09/1967,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,10,Deputy Secretary,Deputy Secretary,,Centre,Finance,Finance,01/12/1956,01/09/1965,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,11,Under Secy,Under Secretary,,Cadre (AIS),Public Distribution,"Consumer Affairs, Food & PD",01/06/1955,01/12/1956,Supremo
TN003700,Ms. Anna R Malhotra,Indian Administrative Service,Tamil Nadu,12,Assistant Collector,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/05/1953,01/06/1955,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,0,N.A.,Secretary,,Centre (Foreign Posting),Political Affairs,Home,01/08/1987,31/07/1987,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,1,N.A.,Secretary Equivalent,Centre - Foreign Post,Centre (Foreign Posting),Liaison,Protocol,01/08/1986,01/07/1987,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,2,Cabinet Secretary,Secretary,Cabinet Sectt,Centre,Cabinet Affairs,Personnel and General Administration,01/02/1985,01/08/1986,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,3,Secretary,Secretary,M/o Finance & Company Affairs,Centre,Finance,Finance,01/07/1983,01/02/1985,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,4,Secretary,Secretary,M/o Defence,Centre,Defence,Defence,01/08/1981,01/07/1983,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,5,Secretary,Secretary,M/o Commerce & Industry,Centre,Commerce,Commerce,01/09/1980,01/08/1981,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,6,Secretary,Secretary,M/o Commerce & Industry,Centre,Export Promotion,Commerce,01/02/1980,01/09/1980,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,7,Additional Secy,Additional Secretary,M/o Commerce & Industry,Centre,Commerce,Commerce,01/07/1976,01/02/1980,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,8,N.A.,Joint Secretary Equivalent,M/o Commerce & Industry,Centre,Foreign Trade,Commerce,01/02/1976,01/07/1976,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,9,Jt Secy,Joint Secretary,M/o Mines,Centre,Mines,Mines & Minerals,01/09/1975,01/02/1976,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,10,Commissioner & Secy,Joint Secretary,,Cadre (AIS),Industries,Industries,01/09/1973,01/08/1975,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,11,Jt Secy,Joint Secretary,M/o Finance & Company Affairs,Centre,Finance,Finance,01/11/1969,01/09/1973,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,12,Director,Director,M/o Finance & Company Affairs,Centre,Finance,Finance,01/03/1967,01/11/1969,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,13,Deputy Secretary,Deputy Secretary,M/o Finance & Company Affairs,Centre,Finance,Finance,01/04/1966,01/03/1967,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,14,Deputy Secretary,Deputy Secretary,M/o Home Affairs,Centre,Home,Home,01/09/1965,01/03/1966,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,15,Director,Deputy Secretary,,Cadre (AIS),Education,Human Resource Dev,01/06/1961,01/04/1964,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,16,Administrator,Under Secretary,,Cadre (AIS),Municipal Administration,Urban Development,01/07/1957,01/05/1961,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,17,Director,Under Secretary,,Cadre (AIS),Industries,Industries,01/06/1956,01/07/1957,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,18,N.A.,Junior Scale,,Cadre (AIS),General Administration,Personnel and General Administration,01/09/1955,01/06/1956,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,19,Additional Collector,Junior Scale,,Cadre (AIS),District Admn,Land Revenue Mgmt & District Admn,01/10/1954,01/08/1955,Supremo
UP011100,Shri Pk Kaul,Indian Administrative Service,Uttar Pradesh,20,Assistant Collector,Junior Scale,,Cadre (AIS),Sub Divisional Admn,Land Revenue Mgmt & District Admn,01/08/1952,01/10/1954,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,0,N.A.,Secretary,P M O,Centre,General Administration,Personnel and General Administration,01/03/1989,01/12/1990,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,1,Cabinet Secretary,Secretary,Cabinet Sectt,Centre,Cabinet Affairs,Personnel and General Administration,01/08/1986,01/03/1989,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,2,OSD to Minister,Secretary,Cabinet Sectt,Centre,Cabinet Affairs,Personnel and General Administration,01/08/1986,01/08/1986,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,3,Chief Secy,Secretary,,Cadre (AIS),General Administration,Personnel and General Administration,01/03/1985,01/07/1986,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,4,Secretary,Secretary,M/o Labour & Rehabilitation,Centre,Labour,Labour & Employment,01/09/1982,01/03/1985,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,5,Secretary,Secretary,M/o Labour & Rehabilitation,Centre,Rehabilitation,Home,01/09/1982,01/03/1985,Supremo
MH006800,Shri B G Deshmukh,Indian Administrative Service,Maharashtra,6,Secretary,Secretary,M/o Labour,Centre,Labour,Labour & Employment,01/01/1981,01/09/1982,Supremo
