ID,Name,Service,Cadre,Reference_Value,Qualification,Subject,Division,Source
BH921400,Shri Naveen Kumar Sinha,Indian Administrative Service,Bihar,0,Graduate,N.A.,Ordinary,Supremo
BH922400,Shri Lakshmi Kant,Indian Administrative Service,Bihar,0,Graduate,N.A.,Ordinary,Supremo
CG047113,Shri Ram Singh Thakur,Indian Administrative Service,Chhattisgarh,0,N.A.,N.A.,N.A.,Supremo
CG047116,Shri M S Paraste,Indian Administrative Service,Chhattisgarh,0,M.A.,History,-,Supremo
CG047119,Shri Xavier Tigga,Indian Administrative Service,Chhattisgarh,0,N.A.,N.A.,N.A.,Supremo
BH920500,Shri Nand Kishore Prasad,Indian Administrative Service,Bihar,0,Graduate,N.A.,Ordinary,Supremo
BH920600,Shri Bhushan Jha,Indian Administrative Service,Bihar,0,Graduate,N.A.,Ordinary,Supremo
BH920800,Shri Raghunandan Prasad,Indian Administrative Service,Bihar,0,Graduate,N.A.,Ordinary,Supremo
CG807002,Shri Rajpal Singh Tyagi,Indian Administrative Service,Chhattisgarh,0,N.A.,N.A.,N.A.,Supremo
TN806101,Shri T. Soundaiah,Indian Administrative Service,Tamil Nadu,0,N.A.,N.A.,N.A.,Supremo
